Rec.#,ION,OX. State,Elec. Config.,Coord. #,Spin State,Crystal Radius,Ionic Radius,NOTES,Z/IR
95,Co+2,2,3d 7,8,,1.04,0.9,,2.222222222
96,Co+3,3,3d 6,6,LS,0.685,0.545,R*,5.504587156
97,Co+3,3,3d 6,6,HS,0.75,0.61,,4.918032787
98,Co+4,4,3d 5,4,,0.54,0.4,,10
99,Co+4,4,3d 5,6,HS,0.67,0.53,R,7.547169811
100,Cr+2,2,3d 4,6,LS,0.87,0.73,E,2.739726027
101,Cr+2,2,3d 4,6,HS,0.94,0.8,R,2.5
102,Cr+3,3,3d 3,6,,0.755,0.615,R*,4.87804878
103,Cr+4,4,3d 2,4,,0.55,0.41,,9.756097561
104,Cr+4,4,3d 2,6,,0.69,0.55,R,7.272727273
105,Cr+5,5,3d 1,4,,0.485,0.345,R,14.49275362
106,Cr+5,5,3d 1,6,,0.63,0.49,ER,10.20408163
107,Cr+5,5,3d 1,8,,0.71,0.57,,8.771929825
108,Cr+6,6,3p 6,4,,0.4,0.26,,23.07692308
109,Cr+6,6,3p 6,6,,0.58,0.44,C,13.63636364
110,Cs+1,1,5p 6,6,,1.81,1.67,,0.598802395
111,Cs+1,1,5p 6,8,,1.88,1.74,,0.574712644
112,Cs+1,1,5p 6,9,,1.92,1.78,,0.561797753
113,Cs+1,1,5p 6,10,,1.95,1.81,,0.552486188
114,Cs+1,1,5p 6,11,,1.99,1.85,,0.540540541
115,Cs+1,1,5p 6,12,,2.02,1.88,,0.531914894
116,Cu+1,1,3d 10,2,,0.6,0.46,,2.173913043
117,Cu+1,1,3d 10,4,,0.74,0.6,E,1.666666667
118,Cu+1,1,3d 10,6,,0.91,0.77,E,1.298701299
119,Cu+2,2,3d 9,4,,0.71,0.57,,3.50877193
120,Cu+2,2,3d 9,4,,0.71,0.57,*,3.50877193
121,Cu+2,2,3d 9,5,,0.79,0.65,*,3.076923077
122,Cu+2,2,3d 9,6,,0.87,0.73,,2.739726027
123,Cu+3,3,3d 8,6,LS,0.68,0.54,,5.555555556
124,D+1,1,1s 0,2,,0.04,-0.1,,-10
125,Dy+2,2,4f 10,6,,1.21,1.07,,1.869158879
126,Dy+2,2,4f 10,7,,1.27,1.13,,1.769911504
127,Dy+2,2,4f 10,8,,1.33,1.19,,1.680672269
128,Dy+3,3,4f 9,6,,1.052,0.912,R,3.289473684
129,Dy+3,3,4f 9,7,,1.11,0.97,,3.092783505
130,Dy+3,3,4f 9,8,,1.167,1.027,R,2.921129503
131,Dy+3,3,4f 9,9,,1.223,1.083,R,2.770083102
132,Er+3,3,4f 11,6,,1.03,0.89,R,3.370786517
133,Er+3,3,4f 11,7,,1.085,0.945,,3.174603175
134,Er+3,3,4f 11,8,,1.144,1.004,R,2.988047809
135,Er+3,3,4f 11,9,,1.202,1.062,R,2.824858757
136,Eu+2,2,4f 7,6,,1.31,1.17,,1.709401709
137,Eu+2,2,4f 7,7,,1.34,1.2,,1.666666667
138,Eu+2,2,4f 7,8,,1.39,1.25,,1.6
139,Eu+2,2,4f 7,9,,1.44,1.3,,1.538461538
140,Eu+2,2,4f 7,10,,1.49,1.35,,1.481481481
141,Eu+3,3,4f 6,6,,1.087,0.947,R,3.167898627
142,Eu+3,3,4f 6,7,,1.15,1.01,,2.97029703
143,Eu+3,3,4f 6,8,,1.206,1.066,R,2.814258912
144,Eu+3,3,4f 6,9,,1.26,1.12,R,2.678571429
145,F-1,-1,2p 6,2,,1.145,1.285,,-0.778210117
146,F-1,-1,2p 6,3,,1.16,1.3,,-0.769230769
147,F-1,-1,2p 6,4,,1.17,1.31,,-0.763358779
148,F-1,-1,2p 6,6,,1.19,1.33,,-0.751879699
149,F+7,7,1s 2,6,,0.22,0.08,A,87.5
150,Fe+2,2,3d 6,4,HS,0.77,0.63,,3.174603175
151,Fe+2,2,3d 6,4,HS,0.78,0.64,,3.125
152,Fe+2,2,3d 6,6,LS,0.75,0.61,E,3.278688525
153,Fe+2,2,3d 6,6,HS,0.92,0.78,R*,2.564102564
154,Fe+2,2,3d 6,8,HS,1.06,0.92,C,2.173913043
155,Fe+3,3,3d 5,4,HS,0.63,0.49,*,6.12244898
156,Fe+3,3,3d 5,5,,0.72,0.58,,5.172413793
157,Fe+3,3,3d 5,6,LS,0.69,0.55,R,5.454545455
158,Fe+3,3,3d 5,6,HS,0.785,0.645,R*,4.651162791
159,Fe+3,3,3d 5,8,HS,0.92,0.78,,3.846153846
160,Fe+4,4,3d 4,6,,0.725,0.585,R,6.837606838
161,Fe+6,6,3d2,4,,0.39,0.25,R,24
162,Fr+1,1,6p 6,6,,1.94,1.8,A,0.555555556
163,Ga+3,3,3d 10,4,,0.61,0.47,*,6.382978723
164,Ga+3,3,3d 10,5,,0.69,0.55,,5.454545455
165,Ga+3,3,3d 10,6,,0.76,0.62,R*,4.838709677
166,Gd+3,3,4f 7,6,,1.078,0.938,R,3.198294243
167,Gd+3,3,4f 7,7,,1.14,1,,3
168,Gd+3,3,4f 7,8,,1.193,1.053,R,2.849002849
169,Gd+3,3,4f 7,9,,1.247,1.107,RC,2.7100271
170,Ge+2,2,4s 2,6,,0.87,0.73,A,2.739726027
171,Ge+4,4,3d 10,4,,0.53,0.39,*,10.25641026
172,Ge+4,4,3d 10,6,,0.67,0.53,R*,7.547169811
173,H+1,1,1s 0,1,,-0.24,-0.38,,-2.631578947
174,H+1,1,1s 0,2,,-0.04,-0.18,,-5.555555556
175,Hf+4,4,4f 14,4,,0.72,0.58,R,6.896551724
176,Hf+4,4,4f 14,6,,0.85,0.71,R,5.633802817
177,Hf+4,4,4f 14,7,,0.9,0.76,,5.263157895
178,Hf+4,4,4f 14,8,,0.97,0.83,,4.819277108
179,Hg+1,1,6s 1,3,,1.11,0.97,,1.030927835
180,Hg+1,1,6s 1,6,,1.33,1.19,,0.840336134
181,Hg+2,2,5d 10,2,,0.83,0.69,,2.898550725
182,Hg+2,2,5d 10,4,,1.1,0.96,,2.083333333
183,Hg+2,2,5d 10,6,,1.16,1.02,,1.960784314
184,Hg+2,2,5d 10,8,,1.28,1.14,R,1.754385965
185,Ho+3,3,4f 10,6,,1.041,0.901,R,3.32963374
186,Ho+3,3,4f 10,8,,1.155,1.015,R,2.955665025
187,Ho+3,3,4f 10,9,,1.212,1.072,R,2.798507463
188,Ho+3,3,4f 10,10,,1.26,1.12,,2.678571429
189,I-1,-1,5p 6,6,,2.06,2.2,A,-0.454545455
190,I+5,5,5s 2,3,,0.58,0.44,*,11.36363636
191,I+5,5,5s 2,6,,1.09,0.95,,5.263157895
192,I+7,7,4d 10,4,,0.56,0.42,,16.66666667
193,I+7,7,4d 10,6,,0.67,0.53,,13.20754717
194,In+3,3,4d 10,4,,0.76,0.62,,4.838709677
195,In+3,3,4d 10,6,,0.94,0.8,R*,3.75
196,In+3,3,4d 10,8,,1.06,0.92,RC,3.260869565
197,Ir+3,3,5d 6,6,,0.82,0.68,E,4.411764706
198,Ir+4,4,5d 5,6,,0.765,0.625,R,6.4
199,Ir+5,5,5d 4,6,,0.71,0.57,EM,8.771929825
200,K+1,1,3p 6,4,,1.51,1.37,,0.729927007
201,K+1,1,3p 6,6,,1.52,1.38,,0.724637681
202,K+1,1,3p 6,7,,1.6,1.46,,0.684931507
203,K+1,1,3p 6,8,,1.65,1.51,,0.662251656
204,K+1,1,3p 6,9,,1.69,1.55,,0.64516129
205,K+1,1,3p 6,10,,1.73,1.59,,0.628930818
206,K+1,1,3p 6,12,,1.78,1.64,,0.609756098
207,La+3,3,4d 10,6,,1.172,1.032,R,2.906976744
208,La+3,3,4d 10,7,,1.24,1.1,,2.727272727
209,La+3,3,4d 10,8,,1.3,1.16,R,2.586206897
210,La+3,3,4d 10,9,,1.356,1.216,R,2.467105263
211,La+3,3,4d 10,10,,1.41,1.27,,2.362204724
212,La+3,3,4d 10,12,,1.5,1.36,C,2.205882353
213,Li+1,1,1s 2,4,,0.73,0.59,*,1.694915254
214,Li+1,1,1s 2,6,,0.9,0.76,*,1.315789474
215,Li+1,1,1s 2,8,,1.06,0.92,C,1.086956522
216,Lu+3,3,4f 14,6,,1.001,0.861,R,3.484320557
217,Lu+3,3,4f 14,8,,1.117,0.977,R,3.07062436
218,Lu+3,3,4f 14,9,,1.172,1.032,R,2.906976744
219,Mg+2,2,2p 6,4,,0.71,0.57,,3.50877193
220,Mg+2,2,2p 6,5,,0.8,0.66,,3.03030303
221,Mg+2,2,2p 6,6,,0.86,0.72,*,2.777777778
222,Mg+2,2,2p 6,8,,1.03,0.89,C,2.247191011
223,Mn+2,2,3d 5,4,HS,0.8,0.66,,3.03030303
224,Mn+2,2,3d 5,5,HS,0.89,0.75,C,2.666666667
225,Mn+2,2,3d 5,6,LS,0.81,0.67,E,2.985074627
226,Mn+2,2,3d 5,6,HS,0.97,0.83,R*,2.409638554
227,Mn+2,2,3d 5,7,HS,1.04,0.9,C,2.222222222
228,Mn+2,2,3d 5,8,,1.1,0.96,R,2.083333333
229,Mn+3,3,3d 4,5,,0.72,0.58,,5.172413793
230,Mn+3,3,3d 4,6,LS,0.72,0.58,R,5.172413793
231,Mn+3,3,3d 4,6,HS,0.785,0.645,R*,4.651162791
232,Mn+4,4,3d 3,4,,0.53,0.39,R,10.25641026
233,Mn+4,4,3d 3,6,,0.67,0.53,R*,7.547169811
234,Mn+5,5,3d 2,4,,0.47,0.33,R,15.15151515
235,Mn+6,6,3d 1,4,,0.395,0.255,,23.52941176
236,Mn+7,7,3p 6,4,,0.39,0.25,,28
237,Mn+7,7,3p 6,6,,0.6,0.46,A,15.2173913
238,Mo+3,3,4d 3,6,,0.83,0.69,E,4.347826087
239,Mo+4,4,4d 2,6,,0.79,0.65,RM,6.153846154
240,Mo+5,5,4d 1,4,,0.6,0.46,R,10.86956522
241,Mo+5,5,4d 1,6,,0.75,0.61,R,8.196721311
242,Mo+6,6,4p 6,4,,0.55,0.41,R*,14.63414634
243,Mo+6,6,4p 6,5,,0.64,0.5,,12
244,Mo+6,6,4p 6,6,,0.73,0.59,R*,10.16949153
245,Mo+6,6,4p 6,7,,0.87,0.73,,8.219178082
246,N-3,-3,2p 6,4,,1.32,1.46,,-2.054794521
247,N+3,3,2s 2,6,,0.3,0.16,A,18.75
248,N+5,5,1s 2,3,,0.044,-0.104,,-48.07692308
249,N+5,5,1s 2,4,,0.27,0.13,A,38.46153846
250,Na+1,1,2p 6,4,,1.13,0.99,,1.01010101
251,Na+1,1,2p 6,5,,1.14,1,,1
252,Na+1,1,2p 6,6,,1.16,1.02,,0.980392157
253,Na+1,1,2p 6,7,,1.26,1.12,,0.892857143
254,Na+1,1,2p 6,8,,1.32,1.18,,0.847457627
255,Na+1,1,2p 6,9,,1.38,1.24,C,0.806451613
256,Na+1,1,2p 6,12,,1.53,1.39,,0.71942446
257,Nb+3,3,4d 2,6,,0.86,0.72,,4.166666667
258,Nb+4,4,4d 1,6,,0.82,0.68,RE,5.882352941
259,Nb+4,4,4d 1,8,,0.93,0.79,,5.063291139
260,Nb+5,5,4p 6,4,,0.62,0.48,C,10.41666667
261,Nb+5,5,4p 6,6,,0.78,0.64,,7.8125
262,Nb+5,5,4p 6,7,,0.83,0.69,C,7.246376812
263,Nb+5,5,4p 6,8,,0.88,0.74,,6.756756757
264,Nd+2,2,4f 4,8,,1.43,1.29,,1.550387597
265,Nd+2,2,4f 4,9,,1.49,1.35,,1.481481481
266,Nd+3,3,4f 3,6,,1.123,0.983,R,3.051881994
267,Nd+3,3,4f 3,8,,1.249,1.109,R*,2.705139766
268,Nd+3,3,4f 3,9,,1.303,1.163,R,2.579535684
269,Nd+3,3,4f 3,12,,1.41,1.27,E,2.362204724
270,Ni+2,2,3d 8,4,,0.69,0.55,,3.636363636
271,Ni+2,2,3d 8,4,,0.63,0.49,,4.081632653
272,Ni+2,2,3d 8,5,,0.77,0.63,E,3.174603175
273,Ni+2,2,3d 8,6,,0.83,0.69,R*,2.898550725
274,Ni+3,3,3d 7,6,LS,0.7,0.56,R*,5.357142857
275,Ni+3,3,3d 7,6,HS,0.74,0.6,E,5
276,Ni+4,4,3d 6,6,LS,0.62,0.48,R,8.333333333
277,No+2,2,5f 14,6,,1.24,1.1,E,1.818181818
278,Np+2,2,5f 5,6,,1.24,1.1,,1.818181818
279,Np+3,3,5f 4,6,,1.15,1.01,,2.97029703
280,Np+4,4,5f 3,6,,1.01,0.87,R,4.597701149
281,Np+4,4,5f 3,8,,1.12,0.98,R,4.081632653
282,Np+5,5,5f 2,6,,0.89,0.75,R,6.666666667
283,Np+6,6,5f 1 ,6,,0.86,0.72,,8.333333333
284,Np+7,7,6p 6,6,,0.85,0.71,R,9.85915493
285,O-2,-2,2p 6,2,,1.21,1.35,A,-1.481481481
286,O-2,-2,2p 6,3,,1.22,1.36,,-1.470588235
287,O-2,-2,2p 6,4,,1.24,1.38,,-1.449275362
288,O-2,-2,2p 6,6,,1.26,1.4,,-1.428571429
289,O-2,-2,2p 6,8,,1.28,1.42,,-1.408450704
294,Os+4,4,5d 4,6,,0.77,0.63,RM,6.349206349
295,Os+5,5,5d 3,6,,0.715,0.575,E,8.695652174
296,Os+6,6,5d 2,5,,0.63,0.49,,12.24489796
297,Os+6,6,5d 2,6,,0.685,0.545,E,11.00917431
298,Os+7,7,5d 1,6,,0.665,0.525,E,13.33333333
299,Os+8,8,5p 6,4,,0.53,0.39,,20.51282051
300,P+3,3,3s 2,6,,0.58,0.44,A,6.818181818
301,P+5,5,2p 6,4,,0.31,0.17,*,29.41176471
302,P+5,5,2p 6,5,,0.43,0.29,,17.24137931
303,P+5,5,2p 6,6,,0.52,0.38,C,13.15789474
304,Pa+3,3,5f 2,6,,1.18,1.04,E,2.884615385
305,Pa+4,4,6d 1,6,,1.04,0.9,R,4.444444444
306,Pa+4,4,6d 1,8,,1.15,1.01,,3.96039604
307,Pa+5,5,6p 6,6,,0.92,0.78,,6.41025641
308,Pa+5,5,6p 6,8,,1.05,0.91,,5.494505495
309,Pa+5,5,6p 6,9,,1.09,0.95,,5.263157895
310,Pb+2,2,6s 2,4,,1.12,0.98,C,2.040816327
311,Pb+2,2,6s 2,6,,1.33,1.19,,1.680672269
312,Pb+2,2,6s 2,7,,1.37,1.23,C,1.62601626
313,Pb+2,2,6s 2,8,,1.43,1.29,C,1.550387597
314,Pb+2,2,6s 2,9,,1.49,1.35,C,1.481481481
315,Pb+2,2,6s 2,10,,1.54,1.4,C,1.428571429
316,Pb+2,2,6s 2,11,,1.59,1.45,C,1.379310345
317,Pb+2,2,6s 2,12,,1.63,1.49,,1.342281879
318,Pb+4,4,5d 10,4,,0.79,0.65,E,6.153846154
319,Pb+4,4,5d 10,5,,0.87,0.73,E,5.479452055
320,Pb+4,4,5d 10,6,,0.915,0.775,R,5.161290323
321,Pb+4,4,5d 10,8,,1.08,0.94,R,4.255319149
322,Pd+1,1,4d 9,2,,0.73,0.59,,1.694915254
323,Pd+2,2,4d 8,4,,0.78,0.64,,3.125
324,Pd+2,2,4d 8,6,,1,0.86,,2.325581395
325,Pd+3,3,4d 7,6,,0.9,0.76,,3.947368421
326,Pd+4,4,4d 6,6,,0.755,0.615,R,6.504065041
327,Pm+3,3,4f 4,6,,1.11,0.97,R,3.092783505
328,Pm+3,3,4f 4,8,,1.233,1.093,R,2.74473925
329,Pm+3,3,4f 4,9,,1.284,1.144,R,2.622377622
330,Po+4,4,6s 2,6,,1.08,0.94,R,4.255319149
331,Po+4,4,6s 2,8,,1.22,1.08,R,3.703703704
332,Po+6,6,5d 10,6,,0.81,0.67,A,8.955223881
333,Pr+3,3,4f 2,6,,1.13,0.99,R,3.03030303
334,Pr+3,3,4f 2,8,,1.266,1.126,R,2.664298401
335,Pr+3,3,4f 2,9,,1.319,1.179,R,2.544529262
336,Pr+4,4,4f 1,6,,0.99,0.85,R,4.705882353
337,Pr+4,4,4f 1,8,,1.1,0.96,R,4.166666667
338,Pt+2,2,5d 8,4,,0.74,0.6,,3.333333333
339,Pt+2,2,5d 8,6,,0.94,0.8,A,2.5
340,Pt+4,4,5d 6,6,,0.765,0.625,R,6.4
341,Pt+5,5,5d 5,6,,0.71,0.57,ER,8.771929825
342,Pu+3,3,5f 5,6,,1.14,1,R,3
343,Pu+4,4,5f 4,6,,1,0.86,R,4.651162791
344,Pu+4,4,5f 4,8,,1.1,0.96,,4.166666667
345,Pu+5,5,5f 3,6,,0.88,0.74,E,6.756756757
346,Pu+6,6,5f 2,6,,0.85,0.71,R,8.450704225
347,Ra+2,2,6p 6,8,,1.62,1.48,R,1.351351351
348,Ra+2,2,6p 6,12,,1.84,1.7,R,1.176470588
349,Rb+1,1,4p 6,6,,1.66,1.52,,0.657894737
350,Rb+1,1,4p 6,7,,1.7,1.56,,0.641025641
351,Rb+1,1,4p 6,8,,1.75,1.61,,0.621118012
352,Rb+1,1,4p 6,9,,1.77,1.63,E,0.613496933
353,Rb+1,1,4p 6,10,,1.8,1.66,,0.602409639
354,Rb+1,1,4p 6,11,,1.83,1.69,,0.591715976
355,Rb+1,1,4p 6,12,,1.86,1.72,,0.581395349
356,Rb+1,1,4p 6,14,,1.97,1.83,,0.546448087
357,Re+4,4,5d 3,6,,0.77,0.63,RM,6.349206349
358,Re+5,5,5d 2,6,,0.72,0.58,E,8.620689655
359,Re+6,6,5d 1,6,,0.69,0.55,E,10.90909091
360,Re+7,7,5p 6,4,,0.52,0.38,,18.42105263
361,Re+7,7,5p 6,6,,0.67,0.53,,13.20754717
362,Rh+3,3,4d 6,6,,0.805,0.665,R,4.511278195
363,Rh+4,4,4d 5,6,,0.74,0.6,RM,6.666666667
364,Rh+5,5,4d 4,6,,0.69,0.55,,9.090909091
365,Ru+3,3,4d 5,6,,0.82,0.68,,4.411764706
366,Ru+4,4,4d 4,6,,0.76,0.62,RM,6.451612903
367,Ru+5,5,4d 3,6,,0.705,0.565,ER,8.849557522
368,Ru+7,7,4d 1,4,,0.52,0.38,,18.42105263
369,Ru+8,8,4p 6,4,,0.5,0.36,,22.22222222
370,S-2,-2,3p 6,6,,1.7,1.84,P,-1.086956522
371,S+4,4,3s 2,6,,0.51,0.37,A,10.81081081
372,S+6,6,2p 6,4,,0.26,0.12,*,50
373,S+6,6,2p 6,6,,0.43,0.29,C,20.68965517
374,Sb+3,3,5s 2,4,,0.9,0.74,,4.054054054
375,Sb+3,3,5s 2,5,,0.94,0.8,,3.75
376,Sb+3,3,5s 2,6,,0.9,0.76,A,3.947368421
377,Sb+5,5,4d 10,6,,0.74,0.6,*,8.333333333
378,Sc+3,3,3p 6,6,,0.885,0.745,R*,4.026845638
379,Sc+3,3,3p 6,8,,1.01,0.87,R*,3.448275862
380,Se-2,-2,4p 6,6,,1.84,1.98,P,-1.01010101
381,Se+4,4,4s 2,6,,0.64,0.5,A,8
382,Se+6,6,3d 10,4,,0.42,0.28,*,21.42857143
383,Se+6,6,3d 10,6,,0.56,0.42,C,14.28571429
384,Si+4,4,2p 6,4,,0.4,0.26,*,15.38461538
385,Si+4,4,2p 6,6,,0.54,0.4,R*,10
386,Sm+2,2,4f 6,7,,1.36,1.22,,1.639344262
387,Sm+2,2,4f 6,8,,1.41,1.27,,1.57480315
388,Sm+2,2,4f 6,9,,1.46,1.32,,1.515151515
389,Sm+3,3,4f 5,6,,1.098,0.958,R,3.131524008
390,Sm+3,3,4f 5,7,,1.16,1.02,E,2.941176471
391,Sm+3,3,4f 5,8,,1.219,1.079,R,2.780352178
392,Sm+3,3,4f 5,9,,1.272,1.132,R,2.650176678
393,Sm+3,3,4f 5,12,,1.38,1.24,C,2.419354839
394,Sn+4,4,4d 10,4,,0.69,0.55,R,7.272727273
395,Sn+4,4,4d 10,5,,0.76,0.62,C,6.451612903
396,Sn+4,4,4d 10,6,,0.83,0.69,R*,5.797101449
397,Sn+4,4,4d 10,7,,0.89,0.75,,5.333333333
398,Sn+4,4,4d 10,8,,0.95,0.81,C,4.938271605
399,Sr+2,2,4p 6,6,,1.32,1.18,,1.694915254
400,Sr+2,2,4p 6,7,,1.35,1.21,,1.652892562
401,Sr+2,2,4p 6,8,,1.4,1.26,,1.587301587
402,Sr+2,2,4p 6,9,,1.45,1.31,,1.526717557
403,Sr+2,2,4p 6,10,,1.5,1.36,C,1.470588235
404,Sr+2,2,4p 6,12,,1.58,1.44,C,1.388888889
405,Ta+3,3,5d 2,6,,0.86,0.72,E,4.166666667
406,Ta+4,4,5d 1,6,,0.82,0.68,E,5.882352941
407,Ta+5,5,5p 6,6,,0.78,0.64,,7.8125
408,Ta+5,5,5p 6,7,,0.83,0.69,,7.246376812
409,Ta+5,5,5p 6,8,,0.88,0.74,,6.756756757
410,Tb+3,3,4f 8,6,,1.063,0.923,R,3.250270856
411,Tb+3,3,4f 8,7,,1.12,0.98,E,3.06122449
412,Tb+3,3,4f 8,8,,1.18,1.04,R,2.884615385
413,Tb+3,3,4f 8,9,,1.235,1.095,R,2.739726027
414,Tb+4,4,4f 7,6,,0.9,0.76,R,5.263157895
415,Tb+4,4,4f 7,8,,1.02,0.88,,4.545454545
416,Tc+4,4,4d 3,6,,0.785,0.645,RM,6.201550388
417,Tc+5,5,4d 2,6,,0.74,0.6,ER,8.333333333
418,Tc+7,7,4p 6,4,,0.51,0.37,,18.91891892
419,Tc+7,7,4p 6,6,,0.7,0.56,A,12.5
420,Te-2,-2,5p 6,6,,2.07,2.21,P,-0.904977376
421,Te+4,4,5s 2,3,,0.66,0.52,,7.692307692
422,Te+4,4,5s 2,4,,0.8,0.66,,6.060606061
