ABX3,exp_label,is_train,A,B,X,nA,nB,nX,rA (Ang),rB (Ang),rX (Ang),t,tau,t_pred,tau_pred,tau_prob
AgSbO3,-1.0,1,Ag,Sb,O,1,5,-2,1.28,0.6,1.4,0.95,4.15,1,1,0.55
AgTaO3,1.0,1,Ag,Ta,O,1,5,-2,1.28,0.64,1.4,0.93,4.07,1,1,0.58
AgVO3,-1.0,1,Ag,V,O,1,5,-2,1.28,0.54,1.4,0.98,4.34,1,-1,0.46
AlBO3,-1.0,1,Al,B,O,3,3,-2,0.54,0.27,1.4,0.82,4.88,-1,-1,0.25
BiAlO3,1.0,1,Bi,Al,O,3,3,-2,1.17,0.54,1.4,0.94,2.0,1,1,0.97
CeAlO3,1.0,1,Ce,Al,O,3,3,-2,1.34,0.54,1.4,1.0,1.8,1,1,0.97
ErAlO3,1.0,1,Er,Al,O,3,3,-2,1.06,0.54,1.4,0.9,2.3,1,1,0.95
EuAlO3,1.0,1,Eu,Al,O,3,3,-2,1.12,0.54,1.4,0.92,2.12,1,1,0.96
FeAlO3,-1.0,1,Fe,Al,O,3,3,-2,0.78,0.54,1.4,0.8,5.22,-1,-1,0.17
LaAlO3,1.0,1,La,Al,O,3,3,-2,1.36,0.54,1.4,1.01,1.79,1,1,0.97
NdAlO3,1.0,1,Nd,Al,O,3,3,-2,1.27,0.54,1.4,0.98,1.85,1,1,0.97
PrAlO3,1.0,1,Pr,Al,O,3,3,-2,1.18,0.54,1.4,0.94,1.98,1,1,0.97
SmAlO3,1.0,1,Sm,Al,O,3,3,-2,1.24,0.54,1.4,0.96,1.89,1,1,0.97
TbAlO3,1.0,1,Tb,Al,O,3,3,-2,1.1,0.54,1.4,0.91,2.19,1,1,0.96
TmAlO3,1.0,1,Tm,Al,O,3,3,-2,1.05,0.54,1.4,0.9,2.34,1,1,0.95
YAlO3,1.0,1,Y,Al,O,3,3,-2,1.08,0.54,1.4,0.9,2.26,1,1,0.96
YbAlO3,1.0,1,Yb,Al,O,3,3,-2,1.04,0.54,1.4,0.89,2.38,1,1,0.95
BaAmO3,1.0,1,Ba,Am,O,2,4,-2,1.61,0.85,1.4,0.95,3.58,1,1,0.78
SrAmO3,1.0,1,Sr,Am,O,2,4,-2,1.44,0.85,1.4,0.89,4.07,1,1,0.58
AmVO3,1.0,1,Am,V,O,4,2,-2,0.95,0.79,1.4,0.76,11.85,-1,-1,0.0
LiAsO3,-1.0,1,Li,As,O,1,5,-2,0.92,0.46,1.4,0.88,4.93,1,-1,0.24
NaAsO3,-1.0,1,Na,As,O,1,5,-2,1.39,0.46,1.4,1.06,4.78,-1,-1,0.28
SbAsO3,-1.0,1,Sb,As,O,3,3,-2,0.76,0.58,1.4,0.77,7.96,-1,-1,0.01
CrBO3,-1.0,1,Cr,B,O,3,3,-2,0.62,0.27,1.4,0.85,4.49,1,-1,0.39
ErBO3,-1.0,1,Er,B,O,3,3,-2,1.06,0.27,1.4,1.04,4.8,1,-1,0.27
EuBO3,-1.0,1,Eu,B,O,3,3,-2,1.12,0.27,1.4,1.07,4.93,-1,-1,0.24
FeBO3,-1.0,1,Fe,B,O,3,3,-2,0.78,0.27,1.4,0.92,4.35,1,-1,0.45
GdBO3,-1.0,1,Gd,B,O,3,3,-2,1.11,0.27,1.4,1.06,4.9,-1,-1,0.25
HoBO3,-1.0,1,Ho,B,O,3,3,-2,1.12,0.27,1.4,1.07,4.93,-1,-1,0.24
InBO3,-1.0,1,In,B,O,3,3,-2,0.92,0.27,1.4,0.98,4.52,1,-1,0.38
LaBO3,-1.0,1,La,B,O,3,3,-2,1.36,0.27,1.4,1.17,5.53,-1,-1,0.12
ScBO3,-1.0,1,Sc,B,O,3,3,-2,0.87,0.27,1.4,0.96,4.45,1,-1,0.41
TmBO3,-1.0,1,Tm,B,O,3,3,-2,1.05,0.27,1.4,1.04,4.78,1,-1,0.28
VBO3,-1.0,1,V,B,O,3,3,-2,0.64,0.27,1.4,0.86,4.42,1,-1,0.42
YBO3,-1.0,1,Y,B,O,3,3,-2,1.08,0.27,1.4,1.05,4.83,1,-1,0.27
CsBaBr3,-1.0,1,Cs,Ba,Br,1,2,-1,1.88,1.35,1.96,0.82,4.66,-1,-1,0.32
KBaBr3,-1.0,1,K,Ba,Br,1,2,-1,1.64,1.35,1.96,0.77,6.69,-1,-1,0.03
BaNaBr3,-1.0,1,Ba,Na,Br,2,1,-1,1.61,1.02,1.96,0.85,4.84,1,-1,0.26
RbBaBr3,-1.0,1,Rb,Ba,Br,1,2,-1,1.72,1.35,1.96,0.79,5.71,-1,-1,0.1
BaCO3,-1.0,1,Ba,C,O,2,4,-2,1.61,0.16,1.4,1.36,13.47,-1,-1,0.0
BaCeO3,1.0,1,Ba,Ce,O,2,4,-2,1.61,0.87,1.4,0.94,3.62,1,1,0.76
CsBaCl3,-1.0,1,Cs,Ba,Cl,1,2,-1,1.88,1.35,1.81,0.83,4.55,1,-1,0.37
KBaCl3,-1.0,1,K,Ba,Cl,1,2,-1,1.64,1.35,1.81,0.77,6.58,-1,-1,0.04
BaLiCl3,-1.0,1,Ba,Li,Cl,2,1,-1,1.61,0.76,1.81,0.94,4.03,1,1,0.61
BaNaCl3,-1.0,1,Ba,Na,Cl,2,1,-1,1.61,1.02,1.81,0.85,4.69,1,-1,0.31
BaCoO3,-1.0,1,Ba,Co,O,2,4,-2,1.61,0.53,1.4,1.1,4.11,-1,1,0.57
BaCrO3,-1.0,1,Ba,Cr,O,2,4,-2,1.61,0.55,1.4,1.09,4.0,-1,1,0.62
CsBaF3,-1.0,1,Cs,Ba,F,1,2,-1,1.88,1.35,1.33,0.85,4.19,1,-1,0.53
KBaF3,-1.0,1,K,Ba,F,1,2,-1,1.64,1.35,1.33,0.78,6.23,-1,-1,0.06
BaGeO3,-1.0,1,Ba,Ge,O,2,4,-2,1.61,0.53,1.4,1.1,4.11,-1,1,0.57
BaHfO3,1.0,1,Ba,Hf,O,2,4,-2,1.61,0.71,1.4,1.01,3.51,1,1,0.8
BaIrO3,1.0,1,Ba,Ir,O,2,4,-2,1.61,0.62,1.4,1.05,3.68,1,1,0.74
BaMnO3,-1.0,1,Ba,Mn,O,2,4,-2,1.61,0.53,1.4,1.1,4.11,-1,1,0.57
BaMoO3,1.0,1,Ba,Mo,O,2,4,-2,1.61,0.65,1.4,1.04,3.62,1,1,0.77
BaNpO3,1.0,1,Ba,Np,O,2,4,-2,1.61,0.87,1.4,0.94,3.62,1,1,0.76
BaPaO3,1.0,1,Ba,Pa,O,2,4,-2,1.61,0.9,1.4,0.93,3.71,1,1,0.74
BaPbO3,1.0,1,Ba,Pb,O,2,4,-2,1.61,0.78,1.4,0.98,3.49,1,1,0.8
BaSiO3,-1.0,1,Ba,Si,O,2,4,-2,1.61,0.4,1.4,1.18,5.28,-1,-1,0.16
BaThO3,1.0,1,Ba,Th,O,2,4,-2,1.61,0.94,1.4,0.91,3.86,1,1,0.68
BaTiO3,1.0,1,Ba,Ti,O,2,4,-2,1.61,0.6,1.4,1.06,3.75,-1,1,0.72
BaUO3,1.0,1,Ba,U,O,2,4,-2,1.61,0.89,1.4,0.93,3.68,1,1,0.75
KBeCl3,-1.0,1,K,Be,Cl,1,2,-1,1.64,0.45,1.81,1.08,5.84,-1,-1,0.09
NaBeCl3,-1.0,1,Na,Be,Cl,1,2,-1,1.39,0.45,1.81,1.0,5.76,1,-1,0.09
RbBeCl3,-1.0,1,Rb,Be,Cl,1,2,-1,1.72,0.45,1.81,1.1,5.87,-1,-1,0.08
TlBeCl3,-1.0,1,Tl,Be,Cl,1,2,-1,1.7,0.45,1.81,1.1,5.86,-1,-1,0.08
CsBeF3,1.0,1,Cs,Be,F,1,2,-1,1.88,0.45,1.33,1.28,4.88,-1,-1,0.25
RbBeF3,-1.0,1,Rb,Be,F,1,2,-1,1.72,0.45,1.33,1.21,4.81,-1,-1,0.27
BiInO3,1.0,1,Bi,In,O,3,3,-2,1.17,0.8,1.4,0.83,4.29,1,-1,0.48
KBiO3,-1.0,1,K,Bi,O,1,5,-2,1.64,0.76,1.4,1.0,3.65,1,1,0.76
LiBiO3,-1.0,1,Li,Bi,O,1,5,-2,0.92,0.76,1.4,0.76,7.18,-1,-1,0.02
BiMnO3,1.0,1,Bi,Mn,O,3,3,-2,1.17,0.64,1.4,0.89,2.31,1,1,0.95
NaBiO3,-1.0,1,Na,Bi,O,1,5,-2,1.39,0.76,1.4,0.91,3.87,1,1,0.67
BiScO3,1.0,1,Bi,Sc,O,3,3,-2,1.17,0.74,1.4,0.85,3.32,1,1,0.84
CsBrO3,-1.0,1,Cs,Br,O,1,5,-2,1.88,0.31,1.4,1.36,6.88,-1,-1,0.03
KBrO3,-1.0,1,K,Br,O,1,5,-2,1.64,0.31,1.4,1.26,6.69,-1,-1,0.03
NaBrO3,-1.0,1,Na,Br,O,1,5,-2,1.39,0.31,1.4,1.15,6.5,-1,-1,0.04
RbBrO3,-1.0,1,Rb,Br,O,1,5,-2,1.72,0.31,1.4,1.29,6.75,-1,-1,0.03
TlBrO3,-1.0,1,Tl,Br,O,1,5,-2,1.7,0.31,1.4,1.28,6.74,-1,-1,0.03
CaLiBr3,-1.0,1,Ca,Li,Br,2,1,-1,1.34,0.76,1.96,0.86,4.8,1,-1,0.28
NaCaBr3,-1.0,1,Na,Ca,Br,1,2,-1,1.39,1.0,1.96,0.8,5.18,-1,-1,0.18
CsCdBr3,1.0,1,Cs,Cd,Br,1,2,-1,1.88,0.95,1.96,0.93,3.96,1,1,0.63
NaCdBr3,-1.0,1,Na,Cd,Br,1,2,-1,1.39,0.95,1.96,0.81,4.91,-1,-1,0.24
RbCdBr3,1.0,1,Rb,Cd,Br,1,2,-1,1.72,0.95,1.96,0.89,4.11,1,1,0.56
KCoBr3,-1.0,1,K,Co,Br,1,2,-1,1.64,0.74,1.96,0.94,4.42,1,-1,0.42
LiCoBr3,-1.0,1,Li,Co,Br,1,2,-1,0.92,0.74,1.96,0.75,7.48,-1,-1,0.01
CsHgBr3,1.0,1,Cs,Hg,Br,1,2,-1,1.88,1.02,1.96,0.91,3.94,1,1,0.65
CsMnBr3,-1.0,1,Cs,Mn,Br,1,2,-1,1.88,0.83,1.96,0.97,4.13,1,1,0.56
CsNiBr3,-1.0,1,Cs,Ni,Br,1,2,-1,1.88,0.69,1.96,1.02,4.56,1,-1,0.36
CsSnBr3,1.0,1,Cs,Sn,Br,1,2,-1,1.88,1.15,1.96,0.87,4.03,1,1,0.6
CsTiBr3,-1.0,1,Cs,Ti,Br,1,2,-1,1.88,0.86,1.96,0.96,4.07,1,1,0.58
LiMgBr3,-1.0,1,Li,Mg,Br,1,2,-1,0.92,0.72,1.96,0.76,6.94,-1,-1,0.03
SrLiBr3,-1.0,1,Sr,Li,Br,2,1,-1,1.44,0.76,1.96,0.88,4.51,1,-1,0.38
NaMgBr3,-1.0,1,Na,Mg,Br,1,2,-1,1.39,0.72,1.96,0.88,4.66,1,-1,0.32
RbMnBr3,-1.0,1,Rb,Mn,Br,1,2,-1,1.72,0.83,1.96,0.93,4.21,1,-1,0.52
SrNaBr3,-1.0,1,Sr,Na,Br,2,1,-1,1.44,1.02,1.96,0.81,6.11,-1,-1,0.06
RbNiBr3,-1.0,1,Rb,Ni,Br,1,2,-1,1.72,0.69,1.96,0.98,4.57,1,-1,0.36
CdCO3,-1.0,1,Cd,C,O,2,4,-2,1.31,0.16,1.4,1.23,12.54,-1,-1,0.0
CoCO3,-1.0,1,Co,C,O,2,4,-2,0.9,0.16,1.4,1.04,11.26,1,-1,0.0
MgCO3,-1.0,1,Mg,C,O,2,4,-2,0.89,0.16,1.4,1.04,11.23,1,-1,0.0
PbCO3,-1.0,1,Pb,C,O,2,4,-2,1.49,0.16,1.4,1.31,13.1,-1,-1,0.0
SrCO3,-1.0,1,Sr,C,O,2,4,-2,1.44,0.16,1.4,1.29,12.94,-1,-1,0.0
CsCaCl3,1.0,1,Cs,Ca,Cl,1,2,-1,1.88,1.0,1.81,0.93,3.79,1,1,0.71
CaCuCl3,-1.0,1,Ca,Cu,Cl,2,1,-1,1.34,0.77,1.81,0.86,4.63,1,-1,0.33
KCaCl3,1.0,1,K,Ca,Cl,1,2,-1,1.64,1.0,1.81,0.87,4.13,1,1,0.56
NaCaCl3,-1.0,1,Na,Ca,Cl,1,2,-1,1.39,1.0,1.81,0.81,5.03,-1,-1,0.21
RbCaCl3,1.0,1,Rb,Ca,Cl,1,2,-1,1.72,1.0,1.81,0.89,3.98,1,1,0.63
CsCaF3,1.0,1,Cs,Ca,F,1,2,-1,1.88,1.0,1.33,0.97,3.31,1,1,0.84
KCaF3,1.0,1,K,Ca,F,1,2,-1,1.64,1.0,1.33,0.9,3.65,1,1,0.76
CaLiF3,-1.0,1,Ca,Li,F,2,1,-1,1.34,0.76,1.33,0.9,3.97,1,1,0.63
NaCaF3,-1.0,1,Na,Ca,F,1,2,-1,1.39,1.0,1.33,0.83,4.55,1,-1,0.36
CaHfO3,1.0,1,Ca,Hf,O,2,4,-2,1.34,0.71,1.4,0.92,3.91,1,1,0.66
KCaI3,-1.0,1,K,Ca,I,1,2,-1,1.64,1.0,2.2,0.85,4.52,1,-1,0.38
NaCaI3,-1.0,1,Na,Ca,I,1,2,-1,1.39,1.0,2.2,0.79,5.42,-1,-1,0.14
RbCaI3,-1.0,1,Rb,Ca,I,1,2,-1,1.72,1.0,2.2,0.87,4.37,1,-1,0.44
CaIrO3,1.0,1,Ca,Ir,O,2,4,-2,1.34,0.62,1.4,0.96,3.86,1,1,0.68
CaNbO3,1.0,1,Ca,Nb,O,2,4,-2,1.34,0.68,1.4,0.93,3.87,1,1,0.67
CaPbO3,1.0,1,Ca,Pb,O,2,4,-2,1.34,0.78,1.4,0.89,4.12,1,1,0.56
CaRuO3,1.0,1,Ca,Ru,O,2,4,-2,1.34,0.62,1.4,0.96,3.87,1,1,0.68
CaSiO3,1.0,1,Ca,Si,O,2,4,-2,1.34,0.4,1.4,1.08,5.04,-1,-1,0.21
CaSnO3,1.0,1,Ca,Sn,O,2,4,-2,1.34,0.69,1.4,0.93,3.88,1,1,0.67
CaTiO3,1.0,1,Ca,Ti,O,2,4,-2,1.34,0.6,1.4,0.97,3.88,1,1,0.67
CaUO3,1.0,1,Ca,U,O,2,4,-2,1.34,0.89,1.4,0.85,4.93,1,-1,0.24
CaVO3,1.0,1,Ca,V,O,2,4,-2,1.34,0.58,1.4,0.98,3.93,1,1,0.65
CaZrO3,1.0,1,Ca,Zr,O,2,4,-2,1.34,0.72,1.4,0.91,3.94,1,1,0.65
CdCuCl3,-1.0,1,Cd,Cu,Cl,2,1,-1,1.31,0.77,1.81,0.86,4.75,1,-1,0.29
KCdCl3,1.0,1,K,Cd,Cl,1,2,-1,1.64,0.95,1.81,0.88,4.07,1,1,0.59
NaCdCl3,-1.0,1,Na,Cd,Cl,1,2,-1,1.39,0.95,1.81,0.82,4.75,-1,-1,0.29
RbCdCl3,1.0,1,Rb,Cd,Cl,1,2,-1,1.72,0.95,1.81,0.9,3.96,1,1,0.64
TlCdCl3,1.0,1,Tl,Cd,Cl,1,2,-1,1.7,0.95,1.81,0.9,3.98,1,1,0.63
CsCdF3,1.0,1,Cs,Cd,F,1,2,-1,1.88,0.95,1.33,1.0,3.3,1,1,0.84
KCdF3,1.0,1,K,Cd,F,1,2,-1,1.64,0.95,1.33,0.92,3.56,1,1,0.78
NaCdF3,-1.0,1,Na,Cd,F,1,2,-1,1.39,0.95,1.33,0.84,4.24,1,-1,0.5
RbCdF3,1.0,1,Rb,Cd,F,1,2,-1,1.72,0.95,1.33,0.95,3.45,1,1,0.81
TlCdF3,1.0,1,Tl,Cd,F,1,2,-1,1.7,0.95,1.33,0.94,3.48,1,1,0.8
CdGeO3,1.0,1,Cd,Ge,O,2,4,-2,1.31,0.53,1.4,0.99,4.1,1,1,0.57
KCdI3,-1.0,1,K,Cd,I,1,2,-1,1.64,0.95,2.2,0.86,4.48,1,-1,0.4
NaCdI3,-1.0,1,Na,Cd,I,1,2,-1,1.39,0.95,2.2,0.81,5.16,-1,-1,0.18
TlCdI3,-1.0,1,Tl,Cd,I,1,2,-1,1.7,0.95,2.2,0.88,4.39,1,-1,0.43
CdPbO3,-1.0,1,Cd,Pb,O,2,4,-2,1.31,0.78,1.4,0.88,4.25,1,-1,0.5
CdSO3,-1.0,1,Cd,S,O,2,4,-2,1.31,0.37,1.4,1.08,5.38,-1,-1,0.14
CdSeO3,-1.0,1,Cd,Se,O,2,4,-2,1.31,0.5,1.4,1.01,4.24,1,-1,0.5
TeCdO3,-1.0,1,Te,Cd,O,4,2,-2,0.97,0.95,1.4,0.71,181.51,-1,-1,0.0
CeCrO3,1.0,1,Ce,Cr,O,4,2,-2,1.14,0.8,1.4,0.82,1.84,-1,1,0.97
CeFeO3,1.0,1,Ce,Fe,O,4,2,-2,1.14,0.78,1.4,0.82,1.2,-1,1,0.99
CeLuO3,1.0,1,Ce,Lu,O,3,3,-2,1.34,0.86,1.4,0.86,3.18,1,1,0.87
SrCeO3,1.0,1,Sr,Ce,O,2,4,-2,1.44,0.87,1.4,0.88,4.18,1,1,0.53
CeVO3,1.0,1,Ce,V,O,4,2,-2,1.14,0.79,1.4,0.82,1.51,-1,1,0.98
KClO3,-1.0,1,K,Cl,O,1,5,-2,1.64,0.12,1.4,1.41,15.89,-1,-1,0.0
RbClO3,-1.0,1,Rb,Cl,O,1,5,-2,1.72,0.12,1.4,1.45,16.05,-1,-1,0.0
RbCoCl3,-1.0,1,Rb,Co,Cl,1,2,-1,1.72,0.74,1.81,0.98,4.19,1,-1,0.53
CsCrCl3,-1.0,1,Cs,Cr,Cl,1,2,-1,1.88,0.8,1.81,1.0,4.01,1,1,0.61
CrLiCl3,-1.0,1,Cr,Li,Cl,2,1,-1,0.8,0.76,1.81,0.72,39.43,-1,-1,0.0
NaCrCl3,-1.0,1,Na,Cr,Cl,1,2,-1,1.39,0.8,1.81,0.87,4.41,1,-1,0.43
RbCrCl3,1.0,1,Rb,Cr,Cl,1,2,-1,1.72,0.8,1.81,0.96,4.07,1,1,0.58
CsEuCl3,1.0,1,Cs,Eu,Cl,1,2,-1,1.88,1.17,1.81,0.88,3.94,1,1,0.65
CsFeCl3,-1.0,1,Cs,Fe,Cl,1,2,-1,1.88,0.78,1.81,1.01,4.06,1,1,0.59
CsGeCl3,-1.0,1,Cs,Ge,Cl,1,2,-1,1.88,0.73,1.81,1.03,4.2,1,-1,0.52
CsHgCl3,1.0,1,Cs,Hg,Cl,1,2,-1,1.88,1.02,1.81,0.92,3.79,1,1,0.71
CsMnCl3,1.0,1,Cs,Mn,Cl,1,2,-1,1.88,0.83,1.81,0.99,3.95,1,1,0.64
CsNiCl3,-1.0,1,Cs,Ni,Cl,1,2,-1,1.88,0.69,1.81,1.04,4.34,1,-1,0.46
CsSnCl3,1.0,1,Cs,Sn,Cl,1,2,-1,1.88,1.15,1.81,0.88,3.9,1,1,0.66
CsSrCl3,1.0,1,Cs,Sr,Cl,1,2,-1,1.88,1.18,1.81,0.87,3.95,1,1,0.64
CsVCl3,-1.0,1,Cs,V,Cl,1,2,-1,1.88,0.79,1.81,1.0,4.04,1,1,0.6
RbEuCl3,-1.0,1,Rb,Eu,Cl,1,2,-1,1.72,1.17,1.81,0.84,4.36,1,-1,0.45
KFeCl3,1.0,1,K,Fe,Cl,1,2,-1,1.64,0.78,1.81,0.94,4.15,1,1,0.55
RbFeCl3,-1.0,1,Rb,Fe,Cl,1,2,-1,1.72,0.78,1.81,0.96,4.11,1,1,0.57
KMnCl3,1.0,1,K,Mn,Cl,1,2,-1,1.64,0.83,1.81,0.92,4.08,1,1,0.58
KNiCl3,-1.0,1,K,Ni,Cl,1,2,-1,1.64,0.69,1.81,0.98,4.37,1,-1,0.44
KSmCl3,-1.0,1,K,Sm,Cl,1,2,-1,1.64,1.22,1.81,0.81,5.03,-1,-1,0.21
LiMgCl3,-1.0,1,Li,Mg,Cl,1,2,-1,0.92,0.72,1.81,0.76,6.73,-1,-1,0.03
LiNiCl3,-1.0,1,Li,Ni,Cl,1,2,-1,0.92,0.69,1.81,0.77,6.26,-1,-1,0.05
PbLiCl3,-1.0,1,Pb,Li,Cl,2,1,-1,1.49,0.76,1.81,0.91,4.21,1,-1,0.52
VLiCl3,-1.0,1,V,Li,Cl,2,1,-1,0.79,0.76,1.81,0.72,52.08,-1,-1,0.0
NaMnCl3,-1.0,1,Na,Mn,Cl,1,2,-1,1.39,0.83,1.81,0.86,4.43,1,-1,0.42
RbMnCl3,1.0,1,Rb,Mn,Cl,1,2,-1,1.72,0.83,1.81,0.95,4.02,1,1,0.61
NaNiCl3,-1.0,1,Na,Ni,Cl,1,2,-1,1.39,0.69,1.81,0.91,4.5,1,-1,0.39
SnNaCl3,-1.0,1,Sn,Na,Cl,2,1,-1,1.15,1.02,1.81,0.74,16.57,-1,-1,0.0
NaZnCl3,-1.0,1,Na,Zn,Cl,1,2,-1,1.39,0.74,1.81,0.89,4.43,1,-1,0.42
TlPbCl3,-1.0,1,Tl,Pb,Cl,1,2,-1,1.7,1.19,1.81,0.83,4.53,1,-1,0.37
RbSrCl3,-1.0,1,Rb,Sr,Cl,1,2,-1,1.72,1.18,1.81,0.83,4.4,1,-1,0.43
TlSrCl3,-1.0,1,Tl,Sr,Cl,1,2,-1,1.7,1.18,1.81,0.83,4.48,1,-1,0.39
TlZnCl3,-1.0,1,Tl,Zn,Cl,1,2,-1,1.7,0.74,1.81,0.97,4.21,1,-1,0.52
DyCoO3,1.0,1,Dy,Co,O,3,3,-2,1.08,0.61,1.4,0.87,2.57,1,1,0.94
KCoF3,1.0,1,K,Co,F,1,2,-1,1.64,0.74,1.33,1.01,3.58,1,1,0.78
RbCoF3,1.0,1,Rb,Co,F,1,2,-1,1.72,0.74,1.33,1.04,3.54,1,1,0.79
TlCoF3,1.0,1,Tl,Co,F,1,2,-1,1.7,0.74,1.33,1.03,3.55,1,1,0.78
GdCoO3,1.0,1,Gd,Co,O,3,3,-2,1.11,0.61,1.4,0.88,2.43,1,1,0.95
HoCoO3,1.0,1,Ho,Co,O,3,3,-2,1.12,0.61,1.4,0.89,2.36,1,1,0.95
KCoI3,-1.0,1,K,Co,I,1,2,-1,1.64,0.74,2.2,0.92,4.74,1,-1,0.29
LaCoO3,1.0,1,La,Co,O,3,3,-2,1.36,0.61,1.4,0.97,1.64,1,1,0.98
CoMnO3,-1.0,1,Co,Mn,O,2,4,-2,0.9,0.53,1.4,0.84,5.06,1,-1,0.21
NdCoO3,1.0,1,Nd,Co,O,3,3,-2,1.27,0.61,1.4,0.94,1.81,1,1,0.97
PrCoO3,1.0,1,Pr,Co,O,3,3,-2,1.18,0.61,1.4,0.91,2.09,1,1,0.96
CoSeO3,-1.0,1,Co,Se,O,2,4,-2,0.9,0.5,1.4,0.86,4.92,1,-1,0.24
CoSiO3,-1.0,1,Co,Si,O,2,4,-2,0.9,0.4,1.4,0.9,5.05,1,-1,0.21
SrCoO3,1.0,1,Sr,Co,O,2,4,-2,1.44,0.53,1.4,1.04,4.08,1,1,0.58
TeCoO3,-1.0,1,Te,Co,O,4,2,-2,0.97,0.74,1.4,0.78,5.61,-1,-1,0.11
CoTiO3,-1.0,1,Co,Ti,O,2,4,-2,0.9,0.6,1.4,0.81,5.81,-1,-1,0.09
YCoO3,1.0,1,Y,Co,O,3,3,-2,1.08,0.61,1.4,0.87,2.63,1,1,0.93
DyCrO3,1.0,1,Dy,Cr,O,3,3,-2,1.08,0.62,1.4,0.87,2.61,1,1,0.93
ErCrO3,1.0,1,Er,Cr,O,3,3,-2,1.06,0.62,1.4,0.86,2.76,1,1,0.92
EuCrO3,1.0,1,Eu,Cr,O,3,3,-2,1.12,0.62,1.4,0.88,2.39,1,1,0.95
KCrF3,1.0,1,K,Cr,F,1,2,-1,1.64,0.8,1.33,0.99,3.52,1,1,0.79
NaCrF3,1.0,1,Na,Cr,F,1,2,-1,1.39,0.8,1.33,0.9,3.81,1,1,0.7
RbCrF3,1.0,1,Rb,Cr,F,1,2,-1,1.72,0.8,1.33,1.01,3.47,1,1,0.81
GdCrO3,1.0,1,Gd,Cr,O,3,3,-2,1.11,0.62,1.4,0.88,2.46,1,1,0.94
LaCrO3,1.0,1,La,Cr,O,3,3,-2,1.36,0.62,1.4,0.97,1.64,1,1,0.98
LuCrO3,1.0,1,Lu,Cr,O,3,3,-2,1.03,0.62,1.4,0.85,3.0,1,1,0.89
CrMoO3,-1.0,1,Cr,Mo,O,2,4,-2,0.8,0.65,1.4,0.76,10.01,-1,-1,0.0
NdCrO3,1.0,1,Nd,Cr,O,3,3,-2,1.27,0.62,1.4,0.94,1.82,1,1,0.97
PrCrO3,1.0,1,Pr,Cr,O,3,3,-2,1.18,0.62,1.4,0.91,2.11,1,1,0.96
PuCrO3,1.0,1,Pu,Cr,O,4,2,-2,0.96,0.8,1.4,0.76,12.08,-1,-1,0.0
ScCrO3,1.0,1,Sc,Cr,O,3,3,-2,0.87,0.62,1.4,0.8,5.51,-1,-1,0.12
TmCrO3,1.0,1,Tm,Cr,O,3,3,-2,1.05,0.62,1.4,0.86,2.84,1,1,0.91
VCrO3,-1.0,1,V,Cr,O,3,3,-2,0.64,0.62,1.4,0.72,71.63,-1,-1,0.0
YCrO3,1.0,1,Y,Cr,O,3,3,-2,1.08,0.62,1.4,0.87,2.67,1,1,0.93
YbCrO3,1.0,1,Yb,Cr,O,3,3,-2,1.04,0.62,1.4,0.86,2.92,1,1,0.9
