compound,source,dHdec (meV/atom),A,B1,B2,X,nA,nB1,nB2,rA (Ang),rB1 (Ang),rB2 (Ang),rX (Ang),t,tau,t_pred,tau_pred,tau_prob
K2AgGaBr6,10.1021/jacs.7b02120,-55,K,Ag,Ga,Br,1,1,3,1.64,1.15,0.62,1.96,0.89,4.22,1,-1,0.52
K2AgGaI6,10.1021/jacs.7b02120,-120,K,Ag,Ga,I,1,1,3,1.64,1.15,0.62,2.2,0.88,4.49,1,-1,0.39
K2AgInCl6,10.1021/jacs.7b02120,51,K,Ag,In,Cl,1,1,3,1.64,1.15,0.8,1.81,0.88,4.09,1,1,0.58
K2AgInBr6,10.1021/jacs.7b02120,-25,K,Ag,In,Br,1,1,3,1.64,1.15,0.8,1.96,0.87,4.24,1,-1,0.5
K2AgInI6,10.1021/jacs.7b02120,-75,K,Ag,In,I,1,1,3,1.64,1.15,0.8,2.2,0.86,4.49,1,-1,0.39
Rb2CuGaCl6,10.1021/jacs.7b02120,-5,Rb,Cu,Ga,Cl,1,1,3,1.72,0.77,0.62,1.81,1.0,4.34,1,-1,0.46
Rb2CuGaBr6,10.1021/jacs.7b02120,-25,Rb,Cu,Ga,Br,1,1,3,1.72,0.77,0.62,1.96,0.98,4.55,1,-1,0.36
Rb2CuGaI6,10.1021/jacs.7b02120,-107,Rb,Cu,Ga,I,1,1,3,1.72,0.77,0.62,2.2,0.96,4.9,1,-1,0.24
Rb2CuInCl6,10.1021/jacs.7b02120,65,Rb,Cu,In,Cl,1,1,3,1.72,0.77,0.8,1.81,0.96,4.1,1,1,0.57
Rb2CuInBr6,10.1021/jacs.7b02120,11,Rb,Cu,In,Br,1,1,3,1.72,0.77,0.8,1.96,0.95,4.29,1,-1,0.48
Rb2CuInI6,10.1021/jacs.7b02120,-60,Rb,Cu,In,I,1,1,3,1.72,0.77,0.8,2.2,0.93,4.6,1,-1,0.34
Rb2AgGaCl6,10.1021/jacs.7b02120,24,Rb,Ag,Ga,Cl,1,1,3,1.72,1.15,0.62,1.81,0.93,3.97,1,1,0.63
Rb2AgGaBr6,10.1021/jacs.7b02120,-1,Rb,Ag,Ga,Br,1,1,3,1.72,1.15,0.62,1.96,0.91,4.14,1,1,0.55
Rb2AgGaI6,10.1021/jacs.7b02120,-89,Rb,Ag,Ga,I,1,1,3,1.72,1.15,0.62,2.2,0.9,4.41,1,-1,0.42
Rb2AgInCl6,10.1021/jacs.7b02120,89,Rb,Ag,In,Cl,1,1,3,1.72,1.15,0.8,1.81,0.9,3.96,1,1,0.64
Rb2AgInBr6,10.1021/jacs.7b02120,34,Rb,Ag,In,Br,1,1,3,1.72,1.15,0.8,1.96,0.89,4.12,1,1,0.56
Rb2AgInI6,10.1021/jacs.7b02120,-40,Rb,Ag,In,I,1,1,3,1.72,1.15,0.8,2.2,0.87,4.36,1,-1,0.45
RbPbI3,10.1021/jacs.7b09379,-52,Rb,Pb,Pb,I,1,2,2,1.72,1.19,1.19,2.2,0.82,4.77,-1,-1,0.28
RbSnI3,10.1021/jacs.7b09379,-5,Rb,Sn,Sn,I,1,2,2,1.72,1.15,1.15,2.2,0.83,4.63,1,-1,0.33
CsPbCl3,10.1021/jacs.7b09379,44,Cs,Pb,Pb,Cl,1,2,2,1.88,1.19,1.19,1.81,0.87,3.98,1,1,0.63
CsPbBr3,10.1021/jacs.7b09379,34,Cs,Pb,Pb,Br,1,2,2,1.88,1.19,1.19,1.96,0.86,4.1,1,1,0.57
CsPbI3,10.1021/jacs.7b09379,-12,Cs,Pb,Pb,I,1,2,2,1.88,1.19,1.19,2.2,0.85,4.3,1,-1,0.47
CsSnCl3,10.1021/jacs.7b09379,65,Cs,Sn,Sn,Cl,1,2,2,1.88,1.15,1.15,1.81,0.88,3.9,1,1,0.66
CsSnBr3,10.1021/jacs.7b09379,56,Cs,Sn,Sn,Br,1,2,2,1.88,1.15,1.15,1.96,0.87,4.03,1,1,0.61
CsSnI3,10.1021/jacs.7b09379,32,Cs,Sn,Sn,I,1,2,2,1.88,1.15,1.15,2.2,0.86,4.24,1,-1,0.51
Cs2NaSbCl6,10.1021/jacs.7b09379,63,Cs,Na,Sb,Cl,1,1,3,1.88,1.02,0.76,1.81,0.97,3.86,1,1,0.68
Cs2AgSbCl6,10.1021/jacs.7b09379,75,Cs,Ag,Sb,Cl,1,1,3,1.88,1.15,0.76,1.81,0.94,3.8,1,1,0.71
Cs2NaBiCl6,10.1021/jacs.7b09379,94,Cs,Na,Bi,Cl,1,1,3,1.88,1.02,1.03,1.81,0.92,3.79,1,1,0.71
Cs2KBiCl6,10.1021/jacs.7b09379,81,Cs,K,Bi,Cl,1,1,3,1.88,1.38,1.03,1.81,0.87,4.01,1,1,0.61
Cs2AgBiCl6,10.1021/jacs.7b09379,102,Cs,Ag,Bi,Cl,1,1,3,1.88,1.15,1.03,1.81,0.9,3.82,1,1,0.7
Cs2AgBiBr6,10.1021/jacs.7b09379,42,Cs,Ag,Bi,Br,1,1,3,1.88,1.15,1.03,1.96,0.89,3.96,1,1,0.64
Cs2AgBiI6,10.1021/jacs.7b09379,-3,Cs,Ag,Bi,I,1,1,3,1.88,1.15,1.03,2.2,0.88,4.18,1,-1,0.53
CaZrS3,10.1021/jacs.7b09379,-333,Ca,Zr,Zr,S,2,4,4,1.34,0.72,0.72,1.84,0.88,4.55,1,-1,0.36
SrTiS3,10.1021/jacs.7b09379,-140,Sr,Ti,Ti,S,2,4,4,1.44,0.6,0.6,1.84,0.95,4.53,1,-1,0.37
SrZrS3,10.1021/jacs.7b09379,-139,Sr,Zr,Zr,S,2,4,4,1.44,0.72,0.72,1.84,0.91,4.33,1,-1,0.46
SrZrSe3,10.1021/jacs.7b09379,-219,Sr,Zr,Zr,Se,2,4,4,1.44,0.72,0.72,1.98,0.9,4.52,1,-1,0.38
BaTiS3,10.1021/jacs.7b09379,-7,Ba,Ti,Ti,S,2,4,4,1.61,0.6,0.6,1.84,1.0,4.48,1,-1,0.39
BaZrS3,10.1021/jacs.7b09379,31,Ba,Zr,Zr,S,2,4,4,1.61,0.72,0.72,1.84,0.95,4.11,1,1,0.57
BaHfS3,10.1021/jacs.7b09379,29,Ba,Hf,Hf,S,2,4,4,1.61,0.71,0.71,1.84,0.96,4.13,1,1,0.56
CaTiO3,10.1021/jacs.7b09379,51,Ca,Ti,Ti,O,2,4,4,1.34,0.6,0.6,1.4,0.97,3.88,1,1,0.67
CaZrO3,10.1021/jacs.7b09379,-139,Ca,Zr,Zr,O,2,4,4,1.34,0.72,0.72,1.4,0.91,3.94,1,1,0.65
CaHfO3,10.1021/jacs.7b09379,-93,Ca,Hf,Hf,O,2,4,4,1.34,0.71,0.71,1.4,0.92,3.91,1,1,0.66
SrTiO3,10.1021/jacs.7b09379,213,Sr,Ti,Ti,O,2,4,4,1.44,0.6,0.6,1.4,1.0,3.8,1,1,0.7
SrZrO3,10.1021/jacs.7b09379,81,Sr,Zr,Zr,O,2,4,4,1.44,0.72,0.72,1.4,0.95,3.72,1,1,0.74
SrHfO3,10.1021/jacs.7b09379,118,Sr,Hf,Hf,O,2,4,4,1.44,0.71,0.71,1.4,0.95,3.71,1,1,0.74
BaTiO3,10.1021/jacs.7b09379,235,Ba,Ti,Ti,O,2,4,4,1.61,0.6,0.6,1.4,1.06,3.75,-1,1,0.73
BaZrO3,10.1021/jacs.7b09379,195,Ba,Zr,Zr,O,2,4,4,1.61,0.72,0.72,1.4,1.0,3.5,1,1,0.81
BaHfO3,10.1021/jacs.7b09379,216,Ba,Hf,Hf,O,2,4,4,1.61,0.71,0.71,1.4,1.01,3.51,1,1,0.81
Ca2BiVO6,10.1021/jacs.7b09379,-188,Ca,Bi,V,O,2,3,5,1.34,1.03,0.54,1.4,0.89,4.17,1,1,0.54
Ba2BiVO6,10.1021/jacs.7b09379,176,Ba,Bi,V,O,2,3,5,1.61,1.03,0.54,1.4,0.97,3.49,1,1,0.81
Ca2BiNbO6,10.1021/jacs.7b09379,-208,Ca,Bi,Nb,O,2,3,5,1.34,1.03,0.64,1.4,0.87,4.46,1,-1,0.4
Ba2BiNbO6,10.1021/jacs.7b09379,204,Ba,Bi,Nb,O,2,3,5,1.61,1.03,0.64,1.4,0.95,3.55,1,1,0.79
Ca2BiTaO6,10.1021/jacs.7b09379,-193,Ca,Bi,Ta,O,2,3,5,1.34,1.03,0.64,1.4,0.87,4.46,1,-1,0.4
Ba2BiTaO6,10.1021/jacs.7b09379,219,Ba,Bi,Ta,O,2,3,5,1.61,1.03,0.64,1.4,0.95,3.55,1,1,0.79
