compound,A,B1,B2,X,nA,nB1,nB2,nX,rA (Ang),rB1 (Ang),rB2 (Ang),rB (Ang),rX (Ang),t,tau,t_pred,tau_pred,tau_prob
Cs2AgCeCl6,Cs,Ag,Ce,Cl,1,1,3,-1,1.88,1.15,1.01,1.08,1.81,0.9,3.82,1,1,0.7
Cs2AgCfCl6,Cs,Ag,Cf,Cl,1,1,3,-1,1.88,1.15,0.95,1.0499999999999998,1.81,0.91,3.8,1,1,0.71
Cs2AgCmCl6,Cs,Ag,Cm,Cl,1,1,3,-1,1.88,1.15,0.97,1.06,1.81,0.91,3.8,1,1,0.7
Cs2AgCoCl6,Cs,Ag,Co,Cl,1,1,3,-1,1.88,1.15,0.61,0.8799999999999999,1.81,0.97,3.87,1,1,0.68
Cs2AgCrCl6,Cs,Ag,Cr,Cl,1,1,3,-1,1.88,1.15,0.62,0.8825,1.81,0.97,3.87,1,1,0.68
Cs2AgCuCl6,Cs,Ag,Cu,Cl,1,1,3,-1,1.88,1.15,0.54,0.845,1.81,0.98,3.92,1,1,0.65
Cs2AgDyCl6,Cs,Ag,Dy,Cl,1,1,3,-1,1.88,1.15,0.91,1.031,1.81,0.92,3.79,1,1,0.71
Cs2AgErCl6,Cs,Ag,Er,Cl,1,1,3,-1,1.88,1.15,0.89,1.02,1.81,0.92,3.79,1,1,0.71
Cs2AgEuCl6,Cs,Ag,Eu,Cl,1,1,3,-1,1.88,1.15,0.95,1.0485,1.81,0.91,3.8,1,1,0.71
Cs2AgFeCl6,Cs,Ag,Fe,Cl,1,1,3,-1,1.88,1.15,0.64,0.8975,1.81,0.96,3.85,1,1,0.69
Cs2AgGaCl6,Cs,Ag,Ga,Cl,1,1,3,-1,1.88,1.15,0.62,0.885,1.81,0.97,3.86,1,1,0.68
Cs2AgGdCl6,Cs,Ag,Gd,Cl,1,1,3,-1,1.88,1.15,0.94,1.044,1.81,0.91,3.8,1,1,0.71
Cs2AgHoCl6,Cs,Ag,Ho,Cl,1,1,3,-1,1.88,1.15,0.9,1.0255,1.81,0.92,3.79,1,1,0.71
Cs2AgInCl6,Cs,Ag,In,Cl,1,1,3,-1,1.88,1.15,0.8,0.975,1.81,0.94,3.79,1,1,0.71
Cs2AgIrCl6,Cs,Ag,Ir,Cl,1,1,3,-1,1.88,1.15,0.68,0.915,1.81,0.96,3.83,1,1,0.69
Cs2AgLaCl6,Cs,Ag,La,Cl,1,1,3,-1,1.88,1.15,1.03,1.091,1.81,0.9,3.83,1,1,0.7
Cs2AgLuCl6,Cs,Ag,Lu,Cl,1,1,3,-1,1.88,1.15,0.86,1.0055,1.81,0.93,3.79,1,1,0.71
Cs2AgMnCl6,Cs,Ag,Mn,Cl,1,1,3,-1,1.88,1.15,0.64,0.8975,1.81,0.96,3.85,1,1,0.69
Cs2AgMoCl6,Cs,Ag,Mo,Cl,1,1,3,-1,1.88,1.15,0.69,0.9199999999999999,1.81,0.96,3.83,1,1,0.7
Cs2AgNCl6,Cs,Ag,N,Cl,1,1,3,-1,1.88,1.15,0.16,0.6549999999999999,1.81,1.06,4.49,1,-1,0.39
Cs2AgNbCl6,Cs,Ag,Nb,Cl,1,1,3,-1,1.88,1.15,0.72,0.9349999999999999,1.81,0.95,3.81,1,1,0.7
Cs2AgNdCl6,Cs,Ag,Nd,Cl,1,1,3,-1,1.88,1.15,0.98,1.0665,1.81,0.91,3.81,1,1,0.7
Cs2AgNiCl6,Cs,Ag,Ni,Cl,1,1,3,-1,1.88,1.15,0.6,0.875,1.81,0.97,3.88,1,1,0.67
Cs2AgNpCl6,Cs,Ag,Np,Cl,1,1,3,-1,1.88,1.15,1.01,1.08,1.81,0.9,3.82,1,1,0.7
Cs2AgPCl6,Cs,Ag,P,Cl,1,1,3,-1,1.88,1.15,0.44,0.7949999999999999,1.81,1.0,4.02,1,1,0.61
Cs2AgPaCl6,Cs,Ag,Pa,Cl,1,1,3,-1,1.88,1.15,1.04,1.095,1.81,0.9,3.83,1,1,0.69
Cs2AgPdCl6,Cs,Ag,Pd,Cl,1,1,3,-1,1.88,1.15,0.76,0.955,1.81,0.94,3.8,1,1,0.71
Cs2AgPmCl6,Cs,Ag,Pm,Cl,1,1,3,-1,1.88,1.15,0.97,1.06,1.81,0.91,3.8,1,1,0.7
Cs2AgPrCl6,Cs,Ag,Pr,Cl,1,1,3,-1,1.88,1.15,0.99,1.0699999999999998,1.81,0.91,3.81,1,1,0.7
Cs2AgPuCl6,Cs,Ag,Pu,Cl,1,1,3,-1,1.88,1.15,1.0,1.075,1.81,0.9,3.81,1,1,0.7
Cs2AgRhCl6,Cs,Ag,Rh,Cl,1,1,3,-1,1.88,1.15,0.66,0.9075,1.81,0.96,3.84,1,1,0.69
Cs2AgRuCl6,Cs,Ag,Ru,Cl,1,1,3,-1,1.88,1.15,0.68,0.915,1.81,0.96,3.83,1,1,0.69
Cs2AgSbCl6,Cs,Ag,Sb,Cl,1,1,3,-1,1.88,1.15,0.76,0.955,1.81,0.94,3.8,1,1,0.71
Cs2AgScCl6,Cs,Ag,Sc,Cl,1,1,3,-1,1.88,1.15,0.74,0.9475,1.81,0.95,3.81,1,1,0.7
Cs2AgSmCl6,Cs,Ag,Sm,Cl,1,1,3,-1,1.88,1.15,0.96,1.0539999999999998,1.81,0.91,3.8,1,1,0.71
Cs2AgTaCl6,Cs,Ag,Ta,Cl,1,1,3,-1,1.88,1.15,0.72,0.9349999999999999,1.81,0.95,3.81,1,1,0.7
Cs2AgTbCl6,Cs,Ag,Tb,Cl,1,1,3,-1,1.88,1.15,0.92,1.0365,1.81,0.92,3.79,1,1,0.71
Cs2AgTiCl6,Cs,Ag,Ti,Cl,1,1,3,-1,1.88,1.15,0.67,0.9099999999999999,1.81,0.96,3.84,1,1,0.69
Cs2AgTlCl6,Cs,Ag,Tl,Cl,1,1,3,-1,1.88,1.15,0.88,1.0175,1.81,0.92,3.79,1,1,0.71
Cs2AgTmCl6,Cs,Ag,Tm,Cl,1,1,3,-1,1.88,1.15,0.88,1.015,1.81,0.92,3.79,1,1,0.71
Cs2AgUCl6,Cs,Ag,U,Cl,1,1,3,-1,1.88,1.15,1.02,1.0875,1.81,0.9,3.82,1,1,0.7
Cs2AgVCl6,Cs,Ag,V,Cl,1,1,3,-1,1.88,1.15,0.64,0.895,1.81,0.96,3.85,1,1,0.68
Cs2AgYCl6,Cs,Ag,Y,Cl,1,1,3,-1,1.88,1.15,0.9,1.025,1.81,0.92,3.79,1,1,0.71
Cs2AgYbCl6,Cs,Ag,Yb,Cl,1,1,3,-1,1.88,1.15,0.87,1.009,1.81,0.93,3.79,1,1,0.71
Cs2AlAuCl6,Cs,Al,Au,Cl,1,3,1,-1,1.88,0.54,1.37,0.9525000000000001,1.81,0.94,3.8,1,1,0.7
Cs2AlCuCl6,Cs,Al,Cu,Cl,1,3,1,-1,1.88,0.54,0.77,0.6525000000000001,1.81,1.06,4.5,-1,-1,0.39
Cs2AlFrCl6,Cs,Al,Fr,Cl,1,3,1,-1,1.88,0.54,1.8,1.1675,1.81,0.88,3.93,1,1,0.65
Cs2AlHgCl6,Cs,Al,Hg,Cl,1,3,1,-1,1.88,0.54,1.19,0.8625,1.81,0.98,3.9,1,1,0.67
Cs2AlKCl6,Cs,Al,K,Cl,1,3,1,-1,1.88,0.54,1.38,0.9575,1.81,0.94,3.8,1,1,0.71
Cs2AlLiCl6,Cs,Al,Li,Cl,1,3,1,-1,1.88,0.54,0.76,0.6475,1.81,1.06,4.52,-1,-1,0.38
Cs2AlNaCl6,Cs,Al,Na,Cl,1,3,1,-1,1.88,0.54,1.02,0.7775000000000001,1.81,1.01,4.07,1,1,0.59
Cs2AlPdCl6,Cs,Al,Pd,Cl,1,3,1,-1,1.88,0.54,0.59,0.5625,1.81,1.1,4.99,-1,-1,0.21
Cs2AlRbCl6,Cs,Al,Rb,Cl,1,3,1,-1,1.88,0.54,1.52,1.0275,1.81,0.92,3.79,1,1,0.71
Cs2AlTlCl6,Cs,Al,Tl,Cl,1,3,1,-1,1.88,0.54,1.5,1.0175,1.81,0.92,3.79,1,1,0.71
Cs2AmAuCl6,Cs,Am,Au,Cl,1,3,1,-1,1.88,0.98,1.37,1.1725,1.81,0.87,3.94,1,1,0.65
Cs2AmBaCl6,Cs,Am,Ba,Cl,1,2,2,-1,1.88,1.21,1.35,1.28,1.81,0.84,4.23,1,-1,0.51
Cs2AmBeCl6,Cs,Am,Be,Cl,1,2,2,-1,1.88,1.21,0.45,0.83,1.81,0.99,3.95,1,1,0.64
Cs2AmCaCl6,Cs,Am,Ca,Cl,1,2,2,-1,1.88,1.21,1.0,1.105,1.81,0.9,3.84,1,1,0.69
Cs2AmCdCl6,Cs,Am,Cd,Cl,1,2,2,-1,1.88,1.21,0.95,1.08,1.81,0.9,3.82,1,1,0.7
Cs2AmCoCl6,Cs,Am,Co,Cl,1,2,2,-1,1.88,1.21,0.74,0.9775,1.81,0.94,3.79,1,1,0.71
Cs2AmCrCl6,Cs,Am,Cr,Cl,1,2,2,-1,1.88,1.21,0.8,1.005,1.81,0.93,3.79,1,1,0.71
Cs2AmCuCl6,Cs,Am,Cu,Cl,1,3,1,-1,1.88,0.98,0.77,0.8725,1.81,0.97,3.88,1,1,0.67
Cs2AmDyCl6,Cs,Am,Dy,Cl,1,2,2,-1,1.88,1.21,1.07,1.1400000000000001,1.81,0.88,3.88,1,1,0.67
Cs2AmEuCl6,Cs,Am,Eu,Cl,1,2,2,-1,1.88,1.21,1.17,1.19,1.81,0.87,3.98,1,1,0.63
Cs2AmFeCl6,Cs,Am,Fe,Cl,1,2,2,-1,1.88,1.21,0.78,0.995,1.81,0.93,3.79,1,1,0.71
Cs2AmFrCl6,Cs,Am,Fr,Cl,1,3,1,-1,1.88,0.98,1.8,1.3875,1.81,0.82,4.76,-1,-1,0.28
Cs2AmGeCl6,Cs,Am,Ge,Cl,1,2,2,-1,1.88,1.21,0.73,0.97,1.81,0.94,3.79,1,1,0.71
Cs2AmHgCl6,Cs,Am,Hg,Cl,1,3,1,-1,1.88,0.98,1.19,1.0825,1.81,0.9,3.82,1,1,0.7
Cs2AmKCl6,Cs,Am,K,Cl,1,3,1,-1,1.88,0.98,1.38,1.1775,1.81,0.87,3.95,1,1,0.64
Cs2AmLiCl6,Cs,Am,Li,Cl,1,3,1,-1,1.88,0.98,0.76,0.8674999999999999,1.81,0.97,3.89,1,1,0.67
Cs2AmMgCl6,Cs,Am,Mg,Cl,1,2,2,-1,1.88,1.21,0.72,0.965,1.81,0.94,3.8,1,1,0.71
Cs2AmMnCl6,Cs,Am,Mn,Cl,1,2,2,-1,1.88,1.21,0.83,1.02,1.81,0.92,3.79,1,1,0.71
Cs2AmNaCl6,Cs,Am,Na,Cl,1,3,1,-1,1.88,0.98,1.02,0.9975,1.81,0.93,3.79,1,1,0.71
Cs2AmNdCl6,Cs,Am,Nd,Cl,1,2,2,-1,1.88,1.21,1.29,1.25,1.81,0.85,4.13,1,1,0.56
Cs2AmNiCl6,Cs,Am,Ni,Cl,1,2,2,-1,1.88,1.21,0.69,0.95,1.81,0.95,3.8,1,1,0.7
Cs2AmNoCl6,Cs,Am,No,Cl,1,2,2,-1,1.88,1.21,1.1,1.155,1.81,0.88,3.91,1,1,0.66
Cs2AmNpCl6,Cs,Am,Np,Cl,1,2,2,-1,1.88,1.21,1.1,1.155,1.81,0.88,3.91,1,1,0.66
Cs2AmPbCl6,Cs,Am,Pb,Cl,1,2,2,-1,1.88,1.21,1.19,1.2,1.81,0.87,4.0,1,1,0.62
Cs2AmPdCl6,Cs,Am,Pd,Cl,1,3,1,-1,1.88,0.98,0.59,0.7825,1.81,1.01,4.05,1,1,0.59
Cs2AmPtCl6,Cs,Am,Pt,Cl,1,2,2,-1,1.88,1.21,0.8,1.005,1.81,0.93,3.79,1,1,0.71
Cs2AmRaCl6,Cs,Am,Ra,Cl,1,2,2,-1,1.88,1.21,1.48,1.345,1.81,0.83,4.52,1,-1,0.38
Cs2AmRbCl6,Cs,Am,Rb,Cl,1,3,1,-1,1.88,0.98,1.52,1.2475,1.81,0.85,4.13,1,1,0.56
Cs2AmSmCl6,Cs,Am,Sm,Cl,1,2,2,-1,1.88,1.21,1.22,1.2149999999999999,1.81,0.86,4.03,1,1,0.6
Cs2AmSnCl6,Cs,Am,Sn,Cl,1,2,2,-1,1.88,1.21,1.15,1.18,1.81,0.87,3.95,1,1,0.64
Cs2AmSrCl6,Cs,Am,Sr,Cl,1,2,2,-1,1.88,1.21,1.18,1.1949999999999998,1.81,0.87,3.99,1,1,0.63
Cs2AmTiCl6,Cs,Am,Ti,Cl,1,2,2,-1,1.88,1.21,0.86,1.035,1.81,0.92,3.79,1,1,0.71
Cs2AmTlCl6,Cs,Am,Tl,Cl,1,3,1,-1,1.88,0.98,1.5,1.2375,1.81,0.86,4.1,1,1,0.57
Cs2AmTmCl6,Cs,Am,Tm,Cl,1,2,2,-1,1.88,1.21,1.03,1.12,1.81,0.89,3.86,1,1,0.68
Cs2AmVCl6,Cs,Am,V,Cl,1,2,2,-1,1.88,1.21,0.79,1.0,1.81,0.93,3.79,1,1,0.71
Cs2AmYbCl6,Cs,Am,Yb,Cl,1,2,2,-1,1.88,1.21,1.02,1.115,1.81,0.89,3.85,1,1,0.69
Cs2AmZnCl6,Cs,Am,Zn,Cl,1,2,2,-1,1.88,1.21,0.74,0.975,1.81,0.94,3.79,1,1,0.71
Cs2AsAuCl6,Cs,As,Au,Cl,1,3,1,-1,1.88,0.58,1.37,0.9750000000000001,1.81,0.94,3.79,1,1,0.71
Cs2AsCuCl6,Cs,As,Cu,Cl,1,3,1,-1,1.88,0.58,0.77,0.675,1.81,1.05,4.4,1,-1,0.43
Cs2AsFrCl6,Cs,As,Fr,Cl,1,3,1,-1,1.88,0.58,1.8,1.19,1.81,0.87,3.98,1,1,0.63
Cs2AsHgCl6,Cs,As,Hg,Cl,1,3,1,-1,1.88,0.58,1.19,0.885,1.81,0.97,3.86,1,1,0.68
Cs2AsKCl6,Cs,As,K,Cl,1,3,1,-1,1.88,0.58,1.38,0.98,1.81,0.94,3.79,1,1,0.71
Cs2AsLiCl6,Cs,As,Li,Cl,1,3,1,-1,1.88,0.58,0.76,0.6699999999999999,1.81,1.05,4.42,1,-1,0.42
Cs2AsNaCl6,Cs,As,Na,Cl,1,3,1,-1,1.88,0.58,1.02,0.8,1.81,1.0,4.01,1,1,0.61
Cs2AsPdCl6,Cs,As,Pd,Cl,1,3,1,-1,1.88,0.58,0.59,0.585,1.81,1.09,4.85,-1,-1,0.25
Cs2AsRbCl6,Cs,As,Rb,Cl,1,3,1,-1,1.88,0.58,1.52,1.05,1.81,0.91,3.8,1,1,0.71
Cs2AsTlCl6,Cs,As,Tl,Cl,1,3,1,-1,1.88,0.58,1.5,1.04,1.81,0.92,3.79,1,1,0.71
Cs2AuBCl6,Cs,Au,B,Cl,1,1,3,-1,1.88,1.37,0.27,0.8200000000000001,1.81,0.99,3.97,1,1,0.63
Cs2AuBiCl6,Cs,Au,Bi,Cl,1,1,3,-1,1.88,1.37,1.03,1.2000000000000002,1.81,0.87,4.0,1,1,0.62
Cs2AuBkCl6,Cs,Au,Bk,Cl,1,1,3,-1,1.88,1.37,0.96,1.165,1.81,0.88,3.93,1,1,0.65
Cs2AuBrCl6,Cs,Au,Br,Cl,1,1,3,-1,1.88,1.37,0.59,0.98,1.81,0.94,3.79,1,1,0.71
Cs2AuCeCl6,Cs,Au,Ce,Cl,1,1,3,-1,1.88,1.37,1.01,1.19,1.81,0.87,3.98,1,1,0.63
Cs2AuCfCl6,Cs,Au,Cf,Cl,1,1,3,-1,1.88,1.37,0.95,1.1600000000000001,1.81,0.88,3.92,1,1,0.66
Cs2AuCmCl6,Cs,Au,Cm,Cl,1,1,3,-1,1.88,1.37,0.97,1.17,1.81,0.88,3.94,1,1,0.65
Cs2AuCoCl6,Cs,Au,Co,Cl,1,1,3,-1,1.88,1.37,0.61,0.99,1.81,0.93,3.79,1,1,0.71
Cs2AuCrCl6,Cs,Au,Cr,Cl,1,1,3,-1,1.88,1.37,0.62,0.9925,1.81,0.93,3.79,1,1,0.71
Cs2AuCuCl6,Cs,Au,Cu,Cl,1,1,3,-1,1.88,1.37,0.54,0.9550000000000001,1.81,0.94,3.8,1,1,0.71
Cs2AuDyCl6,Cs,Au,Dy,Cl,1,1,3,-1,1.88,1.37,0.91,1.141,1.81,0.88,3.89,1,1,0.67
Cs2AuErCl6,Cs,Au,Er,Cl,1,1,3,-1,1.88,1.37,0.89,1.1300000000000001,1.81,0.89,3.87,1,1,0.68
Cs2AuEuCl6,Cs,Au,Eu,Cl,1,1,3,-1,1.88,1.37,0.95,1.1585,1.81,0.88,3.91,1,1,0.66
Cs2AuFeCl6,Cs,Au,Fe,Cl,1,1,3,-1,1.88,1.37,0.64,1.0075,1.81,0.93,3.79,1,1,0.71
Cs2AuFrCl6,Cs,Au,Fr,Cl,1,3,1,-1,1.88,0.85,1.8,1.325,1.81,0.83,4.42,1,-1,0.42
Cs2AuGaCl6,Cs,Au,Ga,Cl,1,1,3,-1,1.88,1.37,0.62,0.9950000000000001,1.81,0.93,3.79,1,1,0.71
Cs2AuGdCl6,Cs,Au,Gd,Cl,1,1,3,-1,1.88,1.37,0.94,1.154,1.81,0.88,3.91,1,1,0.66
Cs2AuHgCl6,Cs,Au,Hg,Cl,1,3,1,-1,1.88,0.85,1.19,1.02,1.81,0.92,3.79,1,1,0.71
Cs2AuHoCl6,Cs,Au,Ho,Cl,1,1,3,-1,1.88,1.37,0.9,1.1355,1.81,0.89,3.88,1,1,0.67
Cs2AuInCl6,Cs,Au,In,Cl,1,1,3,-1,1.88,1.37,0.8,1.085,1.81,0.9,3.82,1,1,0.7
Cs2AuIrCl6,Cs,Au,Ir,Cl,1,1,3,-1,1.88,1.37,0.68,1.0250000000000001,1.81,0.92,3.79,1,1,0.71
Cs2AuKCl6,Cs,Au,K,Cl,1,3,1,-1,1.88,0.85,1.38,1.115,1.81,0.89,3.85,1,1,0.69
Cs2AuLaCl6,Cs,Au,La,Cl,1,1,3,-1,1.88,1.37,1.03,1.201,1.81,0.87,4.0,1,1,0.62
Cs2AuLiCl6,Cs,Au,Li,Cl,1,3,1,-1,1.88,0.85,0.76,0.8049999999999999,1.81,1.0,4.0,1,1,0.62
Cs2AuLuCl6,Cs,Au,Lu,Cl,1,1,3,-1,1.88,1.37,0.86,1.1155,1.81,0.89,3.85,1,1,0.68
Cs2AuMnCl6,Cs,Au,Mn,Cl,1,1,3,-1,1.88,1.37,0.64,1.0075,1.81,0.93,3.79,1,1,0.71
Cs2AuMoCl6,Cs,Au,Mo,Cl,1,1,3,-1,1.88,1.37,0.69,1.03,1.81,0.92,3.79,1,1,0.71
Cs2AuNCl6,Cs,Au,N,Cl,1,1,3,-1,1.88,1.37,0.16,0.765,1.81,1.01,4.1,1,1,0.57
Cs2AuNaCl6,Cs,Au,Na,Cl,1,3,1,-1,1.88,0.85,1.02,0.935,1.81,0.95,3.81,1,1,0.7
Cs2AuNbCl6,Cs,Au,Nb,Cl,1,1,3,-1,1.88,1.37,0.72,1.045,1.81,0.91,3.8,1,1,0.71
Cs2AuNdCl6,Cs,Au,Nd,Cl,1,1,3,-1,1.88,1.37,0.98,1.1765,1.81,0.87,3.95,1,1,0.64
Cs2AuNiCl6,Cs,Au,Ni,Cl,1,1,3,-1,1.88,1.37,0.6,0.9850000000000001,1.81,0.93,3.79,1,1,0.71
Cs2AuNpCl6,Cs,Au,Np,Cl,1,1,3,-1,1.88,1.37,1.01,1.19,1.81,0.87,3.98,1,1,0.63
Cs2AuPCl6,Cs,Au,P,Cl,1,1,3,-1,1.88,1.37,0.44,0.905,1.81,0.96,3.84,1,1,0.69
Cs2AuPaCl6,Cs,Au,Pa,Cl,1,1,3,-1,1.88,1.37,1.04,1.205,1.81,0.87,4.01,1,1,0.61
Cs2AuPdCl6,Cs,Au,Pd,Cl,1,1,3,-1,1.88,1.37,0.76,1.065,1.81,0.91,3.81,1,1,0.7
Cs2AuPmCl6,Cs,Au,Pm,Cl,1,1,3,-1,1.88,1.37,0.97,1.17,1.81,0.88,3.94,1,1,0.65
Cs2AuPrCl6,Cs,Au,Pr,Cl,1,1,3,-1,1.88,1.37,0.99,1.1800000000000002,1.81,0.87,3.95,1,1,0.64
Cs2AuPuCl6,Cs,Au,Pu,Cl,1,1,3,-1,1.88,1.37,1.0,1.185,1.81,0.87,3.96,1,1,0.64
Cs2AuRbCl6,Cs,Au,Rb,Cl,1,3,1,-1,1.88,0.85,1.52,1.185,1.81,0.87,3.96,1,1,0.64
Cs2AuRhCl6,Cs,Au,Rh,Cl,1,1,3,-1,1.88,1.37,0.66,1.0175,1.81,0.92,3.79,1,1,0.71
Cs2AuRuCl6,Cs,Au,Ru,Cl,1,1,3,-1,1.88,1.37,0.68,1.0250000000000001,1.81,0.92,3.79,1,1,0.71
Cs2AuSbCl6,Cs,Au,Sb,Cl,1,1,3,-1,1.88,1.37,0.76,1.065,1.81,0.91,3.81,1,1,0.7
Cs2AuScCl6,Cs,Au,Sc,Cl,1,1,3,-1,1.88,1.37,0.74,1.0575,1.81,0.91,3.8,1,1,0.71
Cs2AuSmCl6,Cs,Au,Sm,Cl,1,1,3,-1,1.88,1.37,0.96,1.1640000000000001,1.81,0.88,3.92,1,1,0.65
Cs2AuTaCl6,Cs,Au,Ta,Cl,1,1,3,-1,1.88,1.37,0.72,1.045,1.81,0.91,3.8,1,1,0.71
Cs2AuTbCl6,Cs,Au,Tb,Cl,1,1,3,-1,1.88,1.37,0.92,1.1465,1.81,0.88,3.89,1,1,0.67
Cs2AuTiCl6,Cs,Au,Ti,Cl,1,1,3,-1,1.88,1.37,0.67,1.02,1.81,0.92,3.79,1,1,0.71
Cs2AuTlCl6,Cs,Au,Tl,Cl,1,1,3,-1,1.88,1.37,0.88,1.1275,1.81,0.89,3.87,1,1,0.68
Cs2AuTmCl6,Cs,Au,Tm,Cl,1,1,3,-1,1.88,1.37,0.88,1.125,1.81,0.89,3.86,1,1,0.68
Cs2AuUCl6,Cs,Au,U,Cl,1,1,3,-1,1.88,1.37,1.02,1.1975,1.81,0.87,3.99,1,1,0.62
Cs2AuVCl6,Cs,Au,V,Cl,1,1,3,-1,1.88,1.37,0.64,1.0050000000000001,1.81,0.93,3.79,1,1,0.71
Cs2AuYCl6,Cs,Au,Y,Cl,1,1,3,-1,1.88,1.37,0.9,1.135,1.81,0.89,3.88,1,1,0.67
Cs2AuYbCl6,Cs,Au,Yb,Cl,1,1,3,-1,1.88,1.37,0.87,1.119,1.81,0.89,3.86,1,1,0.68
Cs2BCuCl6,Cs,B,Cu,Cl,1,3,1,-1,1.88,0.27,0.77,0.52,1.81,1.12,5.29,-1,-1,0.14
Cs2BFrCl6,Cs,B,Fr,Cl,1,3,1,-1,1.88,0.27,1.8,1.0350000000000001,1.81,0.92,3.79,1,1,0.71
Cs2BHgCl6,Cs,B,Hg,Cl,1,3,1,-1,1.88,0.27,1.19,0.73,1.81,1.03,4.2,1,-1,0.52
Cs2BKCl6,Cs,B,K,Cl,1,3,1,-1,1.88,0.27,1.38,0.825,1.81,0.99,3.96,1,1,0.64
Cs2BLiCl6,Cs,B,Li,Cl,1,3,1,-1,1.88,0.27,0.76,0.515,1.81,1.12,5.33,-1,-1,0.13
Cs2BNaCl6,Cs,B,Na,Cl,1,3,1,-1,1.88,0.27,1.02,0.645,1.81,1.06,4.53,-1,-1,0.37
Cs2BPdCl6,Cs,B,Pd,Cl,1,3,1,-1,1.88,0.27,0.59,0.43,1.81,1.16,6.17,-1,-1,0.04
Cs2BRbCl6,Cs,B,Rb,Cl,1,3,1,-1,1.88,0.27,1.52,0.895,1.81,0.96,3.85,1,1,0.68
Cs2BTlCl6,Cs,B,Tl,Cl,1,3,1,-1,1.88,0.27,1.5,0.885,1.81,0.97,3.86,1,1,0.68
Cs2BaBeCl6,Cs,Ba,Be,Cl,1,2,2,-1,1.88,1.35,0.45,0.9,1.81,0.96,3.85,1,1,0.69
Cs2BaCaCl6,Cs,Ba,Ca,Cl,1,2,2,-1,1.88,1.35,1.0,1.175,1.81,0.87,3.94,1,1,0.64
Cs2BaCdCl6,Cs,Ba,Cd,Cl,1,2,2,-1,1.88,1.35,0.95,1.15,1.81,0.88,3.9,1,1,0.66
Cs2BaCoCl6,Cs,Ba,Co,Cl,1,2,2,-1,1.88,1.35,0.74,1.0475,1.81,0.91,3.8,1,1,0.71
Cs2BaCrCl6,Cs,Ba,Cr,Cl,1,2,2,-1,1.88,1.35,0.8,1.0750000000000002,1.81,0.9,3.81,1,1,0.7
Cs2BaCuCl6,Cs,Ba,Cu,Cl,1,2,2,-1,1.88,1.35,0.73,1.04,1.81,0.92,3.79,1,1,0.71
